fiber,alpha_dB_km,D_ps_nm_km,gamma_W_inv_km,modulation,spacing_GHz,net_SE_bit_s_Hz,paper_Lmax_km,paper_required_OSNR_dB_0p1nm,digitization_uncertainty_pct
PSCF,0.18,20.1,0.9,BPSK,50,1.0000,17300,10.94,5
PSCF,0.18,20.1,0.9,BPSK,38.4,1.3021,15300,11.17,5
PSCF,0.18,20.1,0.9,BPSK,35.2,1.4205,14100,11.42,5
PSCF,0.18,20.1,0.9,BPSK,33.6,1.4881,12700,11.81,5
PSCF,0.18,20.1,0.9,BPSK,32.8,1.5244,11500,12.11,5
PSCF,0.18,20.1,0.9,BPSK,32,1.5625,10300,12.42,5
PSCF,0.18,20.1,0.9,QPSK,50,2.0000,8900,13.97,4
PSCF,0.18,20.1,0.9,QPSK,38.4,2.6042,7900,14.23,4
PSCF,0.18,20.1,0.9,QPSK,35.2,2.8409,6900,14.71,4
PSCF,0.18,20.1,0.9,QPSK,33.6,2.9762,6100,15.23,4
PSCF,0.18,20.1,0.9,QPSK,32.8,3.0488,5500,15.69,4
PSCF,0.18,20.1,0.9,QPSK,32,3.1250,4600,16.27,5
PSCF,0.18,20.1,0.9,8QAM,50,3.0000,3500,18.10,5
PSCF,0.18,20.1,0.9,8QAM,38.4,3.9063,3000,18.56,5
PSCF,0.18,20.1,0.9,8QAM,35.2,4.2614,2200,19.77,6
PSCF,0.18,20.1,0.9,8QAM,33.6,4.4643,1500,21.65,7
PSCF,0.18,20.1,0.9,8QAM,32.8,4.5732,850,24.27,8
PSCF,0.18,20.1,0.9,16QAM,50,4.0000,1600,21.20,5
PSCF,0.18,20.1,0.9,16QAM,38.4,5.2083,1300,21.91,5
PSCF,0.18,20.1,0.9,16QAM,36.8,5.4348,1050,22.42,6
PSCF,0.18,20.1,0.9,16QAM,35.2,5.6818,600,24.65,8
SMF,0.22,16.7,1.3,BPSK,50,1.0000,7800,10.94,5
SMF,0.22,16.7,1.3,BPSK,38.4,1.3021,6600,11.17,5
SMF,0.22,16.7,1.3,BPSK,35.2,1.4205,6200,11.42,5
SMF,0.22,16.7,1.3,BPSK,33.6,1.4881,5600,11.81,5
SMF,0.22,16.7,1.3,BPSK,32.8,1.5244,4800,12.11,5
SMF,0.22,16.7,1.3,BPSK,32,1.5625,4500,12.42,5
SMF,0.22,16.7,1.3,QPSK,50,2.0000,4100,13.97,4
SMF,0.22,16.7,1.3,QPSK,38.4,2.6042,3600,14.23,4
SMF,0.22,16.7,1.3,QPSK,35.2,2.8409,3300,14.71,4
SMF,0.22,16.7,1.3,QPSK,33.6,2.9762,2800,15.23,4
SMF,0.22,16.7,1.3,QPSK,32.8,3.0488,2500,15.69,4
SMF,0.22,16.7,1.3,QPSK,32,3.1250,2200,16.27,5
SMF,0.22,16.7,1.3,8QAM,50,3.0000,1600,18.10,5
SMF,0.22,16.7,1.3,8QAM,38.4,3.9063,1400,18.56,5
SMF,0.22,16.7,1.3,8QAM,35.2,4.2614,1000,19.77,6
SMF,0.22,16.7,1.3,8QAM,33.6,4.4643,600,21.65,7
SMF,0.22,16.7,1.3,8QAM,32.8,4.5732,400,24.27,8
SMF,0.22,16.7,1.3,16QAM,50,4.0000,800,21.20,5
SMF,0.22,16.7,1.3,16QAM,38.4,5.2083,600,21.91,5
SMF,0.22,16.7,1.3,16QAM,36.8,5.4348,500,22.42,6
SMF,0.22,16.7,1.3,16QAM,35.2,5.6818,300,24.65,8
NZDSF,0.22,3.8,1.5,BPSK,50,1.0000,5000,10.94,5
NZDSF,0.22,3.8,1.5,BPSK,38.4,1.3021,4500,11.17,5
NZDSF,0.22,3.8,1.5,BPSK,35.2,1.4205,4100,11.42,5
NZDSF,0.22,3.8,1.5,BPSK,33.6,1.4881,3500,11.81,5
NZDSF,0.22,3.8,1.5,BPSK,32.8,1.5244,3200,12.11,5
NZDSF,0.22,3.8,1.5,BPSK,32,1.5625,2900,12.42,5
NZDSF,0.22,3.8,1.5,QPSK,50,2.0000,2700,13.97,4
NZDSF,0.22,3.8,1.5,QPSK,38.4,2.6042,2300,14.23,4
NZDSF,0.22,3.8,1.5,QPSK,35.2,2.8409,2000,14.71,4
NZDSF,0.22,3.8,1.5,QPSK,33.6,2.9762,1700,15.23,4
NZDSF,0.22,3.8,1.5,QPSK,32.8,3.0488,1500,15.69,4
NZDSF,0.22,3.8,1.5,QPSK,32,3.1250,1300,16.27,5
NZDSF,0.22,3.8,1.5,8QAM,50,3.0000,1000,18.10,5
NZDSF,0.22,3.8,1.5,8QAM,38.4,3.9063,850,18.56,5
NZDSF,0.22,3.8,1.5,8QAM,35.2,4.2614,600,19.77,6
NZDSF,0.22,3.8,1.5,8QAM,33.6,4.4643,400,21.65,7
NZDSF,0.22,3.8,1.5,8QAM,32.8,4.5732,300,24.27,8
NZDSF,0.22,3.8,1.5,16QAM,50,4.0000,500,21.20,5
NZDSF,0.22,3.8,1.5,16QAM,38.4,5.2083,400,21.91,5
NZDSF,0.22,3.8,1.5,16QAM,36.8,5.4348,300,22.42,6
NZDSF,0.22,3.8,1.5,16QAM,35.2,5.6818,200,24.65,8
