case,launch_power_per_channel_dbm,paper_reference_throughput_tbps,physical_model_throughput_tbps,equivalent_eq1_fit_throughput_tbps,physical_residual_tbps,equivalent_fit_residual_tbps
HCF,-60.0,0.00643486506331,0.00674039222691,0.00643277568807,0.000305527163605,-2.08937523913e-06
HCF,-59.0,0.00810042585206,0.00848500491071,0.00809779625696,0.000384579058655,-2.62959509117e-06
HCF,-58.0,0.0101968981802,0.0106809644561,0.0101935889399,0.000484066275836,-3.30924036391e-06
HCF,-57.0,0.0128356547167,0.0134449153541,0.0128314905682,0.000609260637405,-4.16414851254e-06
HCF,-56.0,0.0161567878179,0.0169235754736,0.0161515485351,0.000766787655718,-5.23928279894e-06
HCF,-55.0,0.0203364772432,0.0213014476902,0.0203298862372,0.000964970446957,-6.59100603236e-06
HCF,-54.0,0.0255962256669,0.0268104845337,0.0255879357754,0.00121425886677,-8.28989147639e-06
HCF,-53.0,0.0322144224688,0.0337421861935,0.0322039982884,0.00152776372468,-1.04241804431e-05
HCF,-52.0,0.0405408021791,0.0424627219907,0.0405276981715,0.00192191981159,-1.31040076181e-05
HCF,-51.0,0.0510144896469,0.0534317952917,0.0509980231262,0.00241730564478,-1.64665206421e-05
HCF,-50.0,0.0641864703711,0.0672261223545,0.064165788358,0.0030396519834,-2.06820130725e-05
HCF,-49.0,0.0807474902384,0.0845685649375,0.0807215290792,0.00382107469914,-2.59611591767e-05
HCF,-48.0,0.101562569124,0.106364138579,0.101530005755,0.00480156945521,-3.25633688252e-05
HCF,-47.0,0.127713495885,0.1337443,0.127672689739,0.00603080411532,-4.08061456045e-05
HCF,-46.0,0.160550836088,0.168121073199,0.160499760993,0.00757023711108,-5.10750949875e-05
HCF,-45.0,0.201757089752,0.211252661669,0.201693255911,0.00949557191665,-6.38338409945e-05
HCF,-44.0,0.253422621002,0.265322144128,0.253342988499,0.0118995231267,-7.96325023331e-05
HCF,-43.0,0.318135746007,0.333030555796,0.318036633532,0.0148948097888,-9.9112474764e-05
HCF,-42.0,0.399087763025,0.417704958443,0.398964759035,0.0186171954174,-0.000123003989978
HCF,-41.0,0.500192532341,0.523420780828,0.5000404211,0.0232282484876,-0.000152111240454
HCF,-40.0,0.626218194006,0.655135483966,0.626030916147,0.0289172899599,-0.000187277858374
HCF,-39.0,0.782925428162,0.8188271484,0.782696104612,0.0359017202386,-0.000229323549855
HCF,-38.0,0.97720200451,1.02162659468,0.976923063018,0.044424590175,-0.000278941491324
HCF,-37.0,1.21717705746,1.27192500712,1.21684051033,0.0547479496586,-0.000336547132722
HCF,-36.0,1.51229075306,1.57943103774,1.51188867852,0.067140284682,-0.00040207453129
HCF,-35.0,1.87328669338,1.95514312686,1.87281196445,0.081856433483,-0.000474728927017
HCF,-34.0,2.31208757561,2.41119660211,2.31153484972,0.099109026499,-0.000552725895872
HCF,-33.0,2.84151273697,2.96054474388,2.84087966019,0.119032006905,-0.000633076781077
HCF,-32.0,3.47480387703,3.61644316303,3.47409236776,0.141639286001,-0.000711509275745
HCF,-31.0,4.22494691389,4.39173169254,4.22416428961,0.166784778653,-0.000782624283145
HCF,-30.0,5.10381527884,5.29794827236,5.10297491543,0.194132993524,-0.000840363406327
HCF,-29.0,6.12120852772,6.34435896864,6.12032974674,0.223150440923,-0.000878780982974
HCF,-28.0,7.28390728608,7.53703304584,7.28301429339,0.253125759762,-0.00089299268993
HCF,-27.0,8.59489249493,8.878112632,8.59401243568,0.283220137067,-0.000880059247544
HCF,-26.0,10.0528665446,10.3654074018,10.0520270159,0.312540857122,-0.000839528700073
HCF,-25.0,11.6521611456,11.992384287,11.6513876982,0.340223141405,-0.000773447438839
HCF,-24.0,13.3830350394,13.7485375156,13.3823492071,0.365502476192,-0.000685832311335
HCF,-23.0,15.2322815512,15.620044462,15.2316997672,0.387762910797,-0.000581784014027
HCF,-22.0,17.1840100574,17.5905647855,17.1835435357,0.406554728062,-0.000466521765066
HCF,-21.0,19.2204521276,19.6420359035,19.2201075312,0.421583775854,-0.000344596466913
HCF,-20.0,21.3226694277,21.7553506223,21.3224499961,0.432681194638,-0.000219431623716
HCF,-19.0,23.4710903931,23.9108551953,23.4709971752,0.439764802234,-9.3217810651e-05
HCF,-18.0,25.6458574152,26.0886599662,25.6458903149,0.442802551062,3.28997617984e-05
HCF,-17.0,27.8270123457,28.26879815,27.8271707815,0.441785804293,0.000158435806579
HCF,-16.0,29.9945797467,30.4312968492,29.9948628222,0.436717102559,0.000283075599221
HCF,-15.0,32.1286242893,32.5562385984,32.1290304526,0.427614309146,0.000406163324755
HCF,-14.0,34.209362652,34.623893163,34.209888897,0.414530511067,0.00052624503676
HCF,-13.0,36.2174017865,36.6149882275,36.2180425375,0.397586441012,0.000640750941606
HCF,-12.0,38.134153336,38.5111625546,38.134899248,0.377009218514,0.0007459119063
HCF,-11.0,39.9424369207,40.2956051198,39.9432739164,0.353168199143,0.000836995657785
HCF,-10.0,41.6272347645,41.9538315233,41.6281436601,0.326596758803,0.000908895545024
HCF,-9.0,43.176505193,43.4744947174,43.1774621952,0.297989524351,0.000957002167063
HCF,-8.0,44.5819188703,44.850087967,44.5828970341,0.26816909669,0.000978163842156
HCF,-7.0,45.8393682362,46.0773925467,45.8403396948,0.238024310464,0.00097145855532
HCF,-6.0,46.9491298815,47.1575608545,46.9500684031,0.20843097299,0.000938521507884
HCF,-5.0,47.9156280186,48.0958000176,47.9165113311,0.18017199902,0.000883312519925
HCF,-4.0,48.7468334049,48.9007074196,48.7476448105,0.153874014638,0.000811405628987
HCF,-3.0,49.4534060237,49.5833778276,49.4541350622,0.129971803917,0.000729038447986
HCF,-2.0,50.0477278377,50.1564311015,50.0483700373,0.108703263728,0.000642199564936
HCF,-1.0,50.5429674276,50.6330970941,50.5435233876,0.0901296664927,0.000555960040913
HCF,0.0,50.9522818171,51.0264534588,50.9527559465,0.0741716416679,0.000474129433321
HCF,1.0,51.288211178,51.3488619958,51.2886103832,0.0606508177781,0.000399205199038
HCF,2.0,51.5622765612,51.6116058604,51.5626090847,0.0493292991891,0.000332523499452
HCF,3.0,51.7847589817,51.8247013588,51.7850334913,0.0399423771163,0.000274509610257
HCF,4.0,51.9646219799,51.9968447713,51.9648469275,0.032222791354,0.000224947623337
HCF,5.0,52.1095361239,52.1354529898,52.1097193444,0.0259168658615,0.00018322049845
HCF,6.0,52.2259680714,52.2467619637,52.2261165705,0.020793892227,0.000148499083124
HCF,7.0,52.3193044963,52.3359549602,52.3194243736,0.0166504638898,0.000119877259834
HCF,8.0,52.3939894706,52.4073008331,52.3940859308,0.0133113625116,9.64602000053e-05
HCF,9.0,52.4536611934,52.4642894957,52.4537386096,0.010628302345,7.74162556851e-05
HCF,10.0,52.5012796619,52.5097571618,52.5013416649,0.0084774998666,6.20029683063e-05
HCF,11.0,52.5392409653,52.5459976975,52.5392905413,0.0067567321647,4.9575975325e-05
HCF,12.0,52.5694765935,52.5748589012,52.569516181,0.00538230771367,3.95874618633e-05
HCF,13.0,52.5935378076,52.5978240072,52.5935693865,0.00428619953129,3.1578836051e-05
HCF,14.0,52.6126660246,52.6160794984,52.6126911953,0.00341347376014,2.51707208676e-05
HCF,15.0,52.6278505549,52.6305706288,52.6278706071,0.00272007382883,2.00521969376e-05
HCF,16.0,52.6398750797,52.6420460597,52.6398910501,0.00217097998534,1.59704240161e-05
HCF,17.0,52.6493540623,52.6510928098,52.6493667836,0.00173874746153,1.27212506982e-05
HCF,18.0,52.6567599162,52.6581623446,52.6567700573,0.00140242836369,1.01410997217e-05
HCF,19.0,52.6624411933,52.6635880937,52.6624492935,0.00114690047588,8.10024883435e-06
HCF,20.0,52.6666312671,52.6675939289,52.6666377647,0.000962661794503,6.49755335758e-06
HCF,21.0,52.6694458532,52.6702920613,52.6694511099,0.000846208011005,5.2566673503e-06
HCF,22.0,52.6708660351,52.6716672366,52.670870359,0.000801201484883,4.32389663985e-06
HCF,23.0,52.6707009436,52.671541725,52.6707046115,0.000840781412457,3.66796432161e-06
HCF,24.0,52.6685203764,52.6695119585,52.6685236586,0.000991582118054,3.28219899615e-06
HCF,25.0,52.6635416969,52.6648420551,52.6635448869,0.00130035822637,3.18998852578e-06
HCF,26.0,52.6544462198,52.6562908345,52.6544496746,0.00184461463164,3.45478466812e-06
HCF,27.0,52.63908641,52.641835778,52.6390906064,0.00274936804851,4.19643522775e-06
HCF,28.0,52.6140245985,52.6182377713,52.6140302145,0.00421317272442,5.61592447212e-06
HCF,29.0,52.5738145235,52.5803623007,52.5738225535,0.00654777716417,8.02995021587e-06
HCF,30.0,52.5098983157,52.5201351964,52.5099102288,0.0102368807116,1.19131679739e-05
HCF,31.0,52.4089489286,52.4249681685,52.4089668634,0.0160192398404,1.79347502538e-05
HCF,32.0,52.2504632053,52.2754599553,52.2504901531,0.024996749959,2.6947826008e-05
HCF,33.0,52.0034635972,52.0422159912,52.0035034285,0.038752394018,3.98312706551e-05
HCF,34.0,51.6224290893,51.6818537128,51.6224860764,0.0594246235239,5.69871569454e-05
HCF,35.0,51.0432732852,51.1328863582,51.0433505063,0.0896130729357,7.72210804101e-05
HCF,36.0,50.1815330512,50.313436462,50.1816289707,0.131903410855,9.59195061228e-05
HCF,37.0,48.9366513566,49.1244576613,48.9367547097,0.18780630475,0.0001033531411
HCF,38.0,47.2066719757,47.4629064514,47.2067575345,0.256234475711,8.55587699462e-05
HCF,39.0,44.9137430123,45.2461091142,44.9137733646,0.332366101932,3.03523166281e-05
HCF,40.0,42.0318665384,42.4400414409,42.0318027388,0.408174902436,-6.37995841615e-05
HCF,41.0,38.6017630705,39.076664569,38.6015786223,0.474901498561,-0.000184448207882
HCF,42.0,34.7240023085,35.2498305992,34.7236902368,0.525828290675,-0.000312071677008
HCF,43.0,30.5372112178,31.0945908739,30.5367806852,0.557379656102,-0.00043053261221
HCF,44.0,26.1964637779,26.7648026604,26.1959319261,0.56833888249,-0.000531851747148
HCF,45.0,21.8610958901,22.4195961724,21.8604821118,0.558500282302,-0.000613778257826
HCF,46.0,17.6903432876,18.2183862981,17.6896690512,0.528043010435,-0.000674236437689
HCF,47.0,13.8386709432,14.3167677844,13.8379639341,0.478096841127,-0.000707009161561
HCF,48.0,10.4428934553,10.8549713641,10.4421912671,0.412077908852,-0.000702188153499
HCF,49.0,7.60014157024,7.93668368057,7.59948866714,0.336542110332,-0.000652903097595
HCF,50.0,5.34661053863,5.60681136417,5.34604672839,0.260200825542,-0.000563810239283
HCF,51.0,3.65211519353,3.84331071108,3.65166293671,0.191195517548,-0.000452256824007
