lpch	capc
-60	0.00643486506330965
-59	0.00810042585205521
-58	0.0101968981802257
-57	0.0128356547166746
-56	0.0161567878178788
-55	0.0203364772432458
-54	0.0255962256669155
-53	0.0322144224688424
-52	0.0405408021791308
-51	0.0510144896468909
-50	0.0641864703710793
-49	0.0807474902383791
-48	0.101562569124054
-47	0.127713495884667
-46	0.160550836088088
-45	0.201757089752487
-44	0.253422621001803
-43	0.318135746007117
-42	0.399087763025227
-41	0.500192532340821
-40	0.62621819400577
-39	0.782925428161806
-38	0.977202004509638
-37	1.21717705745784
-36	1.51229075305616
-35	1.87328669337747
-34	2.31208757561134
-33	2.8415127369733
-32	3.47480387703294
-31	4.22494691389057
-30	5.10381527884105
-29	6.12120852771879
-28	7.28390728607882
-27	8.59489249493009
-26	10.0528665446353
-25	11.652161145611
-24	13.3830350394231
-23	15.2322815512452
-22	17.1840100574189
-21	19.2204521276226
-20	21.3226694276947
-19	23.4710903930542
-18	25.645857415157
-17	27.8270123456921
-16	29.99457974665
-15	32.1286242892788
-14	34.209362651961
-13	36.2174017865346
-12	38.1341533360485
-11	39.9424369207028
-10	41.62723476454
-9	43.1765051930391
-8	44.5819188703063
-7	45.8393682362275
-6	46.9491298815461
-5	47.9156280185977
-4	48.7468334049165
-3	49.4534060237234
-2	50.0477278377257
-1	50.542967427598
0	50.95228181709
1	51.2882111780187
2	51.5622765611777
3	51.7847589816868
4	51.9646219799082
5	52.1095361238976
6	52.2259680714492
7	52.3193044963374
8	52.3939894705954
9	52.4536611933802
10	52.5012796618845
11	52.5392409653466
12	52.5694765935311
13	52.5935378076298
14	52.6126660245965
15	52.6278505549375
16	52.6398750797157
17	52.6493540623107
18	52.6567599162128
19	52.6624411932524
20	52.6666312671021
21	52.6694458532482
22	52.6708660350891
23	52.6707009435742
24	52.668520376377
25	52.6635416969225
26	52.6544462198409
27	52.6390864099751
28	52.6140245985347
29	52.573814523549
30	52.5098983156745
31	52.4089489286207
32	52.2504632052962
33	52.003463597222
34	51.6224290892808
35	51.0432732852479
36	50.1815330511923
37	48.9366513565693
38	47.2066719756847
39	44.913743012289
40	42.0318665384146
41	38.6017630704845
42	34.7240023085136
43	30.537211217784
44	26.196463777894
45	21.8610958900596
46	17.6903432876318
47	13.8386709432398
48	10.4428934552616
49	7.6001415702413
50	5.34661053862578
51	3.65211519353061
52	2.43625229303654
53	1.59645305876653
54	1.0329122557849
55	0.662491764709449
56	0.422445318719788
57	0.268353836182673
58	0.170050514317157
59	0.107588224046742
60	0.0680011552675863
