span_km,hcf_capacity_tbps,mcf_2core_capacity_tbps,hcf_system_gsnr_db,mcf_2core_system_gsnr_db,hcf_launch_power_dbm,mcf_2core_launch_power_dbm,hcf_repeaters,mcf_2core_repeaters,hcf_feasible,mcf_2core_feasible
50,196.915995,416.554165,12.776144,13.562348,17.986661,14.810338,119,119,True,True
55,196.687711,410.996515,12.760277,13.370644,17.986661,14.985411,109,109,True,True
60,196.397446,404.218560,12.740098,13.136342,17.986661,15.210504,99,99,True,True
65,196.142844,398.552583,12.722394,12.940029,17.986661,15.410588,92,92,True,True
70,195.829525,391.551791,12.700602,12.696872,17.986661,15.635682,85,85,True,True
75,195.497732,384.280918,12.677520,12.443596,17.986661,15.860775,79,79,True,True
80,195.161270,377.216430,12.654106,12.196745,17.986661,16.085869,74,74,True,True
85,194.840764,370.987447,12.631796,11.978426,17.986661,16.310963,70,70,True,True
90,194.461506,363.332614,12.605389,11.709229,17.986661,16.536057,66,66,True,True
95,194.128570,356.984577,12.582201,11.485188,17.986661,16.736140,63,63,True,True
100,193.601838,347.264936,12.545502,11.140648,17.986661,17.036265,59,59,True,True
105,193.294485,341.912079,12.524080,10.950073,17.986661,17.211338,57,57,True,True
110,192.764355,332.742168,12.487118,10.622134,17.986661,17.486453,54,54,True,True
115,192.355237,325.876614,12.458581,10.375313,17.986661,17.686536,52,52,True,True
120,191.636397,313.743520,12.408417,9.936176,17.986661,17.986661,49,49,True,True
125,191.070359,300.587822,12.368894,9.455343,17.986661,17.986661,47,47,True,True
130,190.755864,293.390102,12.346926,9.189992,17.986661,17.986661,46,46,True,True
135,190.052337,277.623202,12.297762,8.602421,17.986661,17.986661,44,44,True,True
140,189.229990,259.839903,12.240255,7.927849,17.986661,17.986661,42,42,True,True
145,188.765319,250.118975,12.207741,7.552986,17.986661,17.986661,41,41,True,True
150,187.706071,228.871531,12.133572,6.715846,17.986661,17.986661,39,39,True,True
155,187.100069,217.289269,12.091107,6.247568,17.986661,17.986661,38,38,True,True
160,186.433930,205.035261,12.044400,5.741327,17.986661,17.986661,37,37,True,True
165,185.699240,192.091088,11.992852,5.192690,17.986661,17.986661,36,36,True,True
170,184.886094,178.446577,11.935757,4.596335,17.986661,17.986661,35,35,True,True
175,183.982771,164.103949,11.872277,3.945776,17.986661,17.986661,34,34,True,True
180,182.975343,149.083703,11.801414,3.232949,17.986661,17.986661,33,33,True,True
185,181.847182,133.432883,11.721974,2.447626,17.986661,17.986661,32,32,True,True
190,180.578346,117.236628,11.632519,1.576523,17.986661,17.986661,31,31,True,True
195,179.144805,100.634027,11.531308,0.601949,17.986661,17.986661,30,30,True,True
200,177.517482,83.839208,11.416228,-0.500327,17.986661,17.986661,29,29,True,True
205,177.517482,83.839208,11.416228,-0.500327,17.986661,17.986661,29,29,True,True
210,175.661035,67.167720,11.284694,-1.764507,17.986661,17.986661,28,28,True,True
215,173.532348,51.065406,11.133530,-3.240427,17.986661,17.986661,27,27,True,True
220,173.532348,51.065406,11.133530,-3.240427,17.986661,17.986661,27,27,True,True
225,171.078640,36.129641,10.958816,-5.003144,17.986661,17.986661,26,26,True,True
230,171.078640,36.129641,10.958816,-5.003144,17.986661,17.986661,26,26,True,True
235,168.235143,23.097248,10.755692,-7.169323,17.986661,17.986661,25,25,True,True
240,164.922265,12.748027,10.518102,-9.925174,17.986661,17.986661,24,24,True,True
245,164.922265,12.748027,10.518102,-9.925174,17.986661,17.986661,24,24,True,True
250,161.042225,5.657200,10.238479,-13.571978,17.986661,17.986661,23,23,True,True
