wavelength_nm,paper_loss_db_km,original_scalar5_db_km,revised_vector7_db_km,relative_error_pct,absolute_percentage_error,exceeds_10pct
1200.0,0.5664635,651.4593541675692,321.31690849346046,56623.320830637895,56623.320830637895,True
1210.0,0.4453585,558.1819991741665,251.64222432490894,56403.294385289366,56403.294385289366,True
1220.0,0.3399537499999999,484.92839564282565,201.3856199251342,59139.12294691094,59139.12294691094,True
1230.0,0.29244775,426.50992501128604,164.29290640665636,56078.550324513126,56078.550324513126,True
1240.0,0.2384645,379.28739154985544,136.35358786958557,57079.82671197834,57079.82671197834,True
1250.0,0.20469825,340.6553441264713,114.92488547443287,56043.560325714985,56043.560325714985,True
1260.0,0.1775399999999999,308.7137615388492,98.22226174664893,55224.01810670779,55224.01810670779,True
1270.0,0.1662565,282.05386767097406,85.01392586040481,51034.19677450495,51034.19677450495,True
1280.0,0.15275675,259.615281615084,74.43255701844296,48626.19836337378,48626.19836337378,True
1290.0,0.14178225,240.58888768126235,65.85633848310734,46348.93030199996,46348.93030199996,True
1300.0,0.1345994999999999,224.34953915219845,58.832068777666905,43608.98018021385,43608.98018021385,True
1310.0,0.128206,210.40867969382785,53.02443000434147,41258.77416372203,41258.77416372203,True
1320.0,0.12545725,198.3804729377167,48.18187507715617,38305.01451861585,38305.01451861585,True
1330.0,0.1240595,187.9572497961378,44.11328700375404,35458.16926858002,35458.16926858002,True
1340.0,0.1287755,178.8914687085988,40.67175034200917,31483.45363986874,31483.45363986874,True
1350.0,0.14695775,170.9823356149634,37.74309883405515,25582.959104950332,25582.959104950332,True
1360.0,0.20815575,164.06571362813122,35.23772159549207,16828.536250135807,16828.536250135807,True
1370.0,0.26280825,158.00648861001764,33.08462511358817,12488.88376357598,12488.88376357598,True
1380.0,0.25146725,152.69270862077053,31.227078461205554,12317.950433388665,12317.950433388665,True
1390.0,0.19630375,148.0310491999386,29.61938374812045,14988.547084872527,14988.547084872527,True
1400.0,0.18890825,143.9432731432584,28.224456032734963,14840.827641320568,14840.827641320568,True
1410.0,0.1594145,140.36346505814342,27.011991954211442,16844.5012556646,16844.5012556646,True
1420.0,0.1468205,137.2358067860029,25.957071134783753,17579.459704049335,17579.459704049335,True
1430.0,0.13628225,134.51283152669134,25.039078785606744,18272.95670243685,18272.95670243685,True
1440.0,0.13981575,132.15401412379046,24.240869046670028,17237.724145291235,17237.724145291235,True
1450.0,0.1160275,130.12463378143926,23.548110176418422,20195.283597783648,20195.283597783648,True
1460.0,0.101598775,128.39483174200655,22.94876844793156,22487.642860784057,22487.642860784057,True
1470.0,0.1066704,126.9388646617392,22.432698515434865,20929.918811061798,20929.918811061798,True
1480.0,0.103955625,125.73448680192654,21.991318295233086,21054.5246303248,21054.5246303248,True
1490.0,0.0963021499999999,124.76242337474295,21.61733551582064,22347.406953864127,22347.406953864127,True
1500.0,0.09261,124.00594932255426,21.304556135235657,22904.595762051245,22904.595762051245,True
1510.0,0.091010225,123.45053473900165,21.04769230120634,23026.733618344904,23026.733618344904,True
1520.0,0.090600075,123.0835433886016,20.84222638527955,22904.645840833517,22904.645840833517,True
1530.0,0.0926377,122.89398731785705,20.684297708009783,22228.164136209965,22228.164136209965,True
1540.0,0.0933225249999999,122.87230746290923,20.570604971640268,21942.486496845522,21942.486496845522,True
1550.0,0.090698975,123.01020243797414,20.498336289024472,22500.405670543103,22500.405670543103,True
1560.0,0.091565375,123.30047244614912,20.46508483770148,22250.244115421883,22250.244115421883,True
1570.0,0.1079920249999999,123.73689076932445,20.46880717597243,18853.998849426564,18853.998849426564,True
1580.0,0.105362875,124.31409087745996,20.50777934928043,19363.951936847232,19363.951936847232,True
1590.0,0.0946816,125.02747405265613,20.58054449323159,21636.582919206674,21636.582919206674,True
1600.0,0.109104075,125.87312679367312,20.68589919601788,18859.786053837015,18859.786053837015,True
1610.0,0.11315975,126.84774868128382,20.822846377324254,18301.283475197015,18301.283475197015,True
1620.0,0.099487625,127.94859298564839,20.990590536716915,20998.694975095565,20998.694975095565,True
1630.0,0.09994175,129.17341352820992,21.18850100898716,21100.85050440598,21100.85050440598,True
1640.0,0.1044210499999999,130.52041771966262,21.416109027342365,20409.37912168321,20409.37912168321,True
1650.0,0.11160625,131.98823319861395,21.673085480498617,19319.239944446315,19319.239944446315,True
