wavelength_nm,large_diameter_um,middle_diameter_um,small_diameter_um,gap1_um,gap2_um,converged,loss_db_km,characteristic_abs,relative_smin,root_message,target_used_for_selection
1310.0,30.4,22.7,7.0,6.699999999999999,14.7,True,1.4354565323625184,1.7287167615515808e-12,1.1047568206953263e-13,The solution converged.,False
1550.0,30.4,22.7,7.0,6.699999999999999,14.7,True,0.5443087289135838,7.961744478418738e-13,2.5367403612188993e-14,The solution converged.,False
1310.0,30.4,22.7,7.7,6.699999999999999,14.0,True,1.1239725733969124,1.355747335082278e-12,8.490164208651053e-14,The solution converged.,False
1550.0,30.4,22.7,7.7,6.699999999999999,14.0,True,0.4297200954607268,5.268362607064049e-13,1.7186416812109307e-14,The solution converged.,False
1310.0,30.4,22.7,8.4,6.699999999999999,13.299999999999999,True,0.9247652315905169,7.573690945319083e-13,3.709771954497476e-14,The solution converged.,False
1550.0,30.4,22.7,8.4,6.699999999999999,13.299999999999999,True,0.3560506622212625,5.118315047735659e-13,1.605642311449001e-14,The solution converged.,False
1310.0,30.4,23.75,7.0,5.649999999999999,15.75,True,2.828020505855712,6.854829881329814e-13,5.147999621090312e-14,The solution converged.,False
1550.0,30.4,23.75,7.0,5.649999999999999,15.75,True,1.0708888974024688,9.828381515850057e-13,3.5760130505430596e-14,The solution converged.,False
1310.0,30.4,23.75,7.7,5.649999999999999,15.05,True,1.995576572170082,2.825045798391072e-13,1.9729601563152964e-14,The solution converged.,False
1550.0,30.4,23.75,7.7,5.649999999999999,15.05,True,0.7647643754432032,6.084599302696705e-13,2.152653995947465e-14,The solution converged.,False
1310.0,30.4,23.75,8.4,5.649999999999999,14.35,True,1.5160533086310144,8.757590836347978e-13,4.6000121867944176e-14,The solution converged.,False
1550.0,30.4,23.75,8.4,5.649999999999999,14.35,True,0.586357637383741,1.8806574111122203e-12,6.166985593776361e-14,The solution converged.,False
1310.0,30.4,24.8,7.0,4.599999999999998,16.8,True,7.759228915747036,2.6958790985546963e-13,2.5675263261970778e-14,The solution converged.,False
1550.0,30.4,24.8,7.0,4.599999999999998,16.8,True,2.9114311476037322,6.731698777397395e-13,3.0537055135806616e-14,The solution converged.,False
1310.0,30.4,24.8,7.7,4.599999999999998,16.1,True,4.570965457333439,5.66408884697336e-13,4.588725200000951e-14,The solution converged.,False
1550.0,30.4,24.8,7.7,4.599999999999998,16.1,True,1.75312333578031,1.6183761662080904e-12,6.563114474941433e-14,The solution converged.,False
