wavelength_nm,core_radius_um,wall_um,large_um,middle_um,small_um,loss_db_km,converged
1310.0,14.75,0.5,30.4,22.7,7.0,43.65851013136728,True
1550.0,14.75,0.5,30.4,22.7,7.0,16.892205574290976,True
1310.0,14.75,0.5,30.4,22.7,7.7,34.1905398666311,True
1550.0,14.75,0.5,30.4,22.7,7.7,13.488644855556972,True
1310.0,14.75,0.5,30.4,22.7,8.4,28.125681957327085,True
1550.0,14.75,0.5,30.4,22.7,8.4,11.279719339942773,True
1310.0,14.75,0.5,30.4,23.75,7.0,82.97965275606947,True
1550.0,14.75,0.5,30.4,23.75,7.0,31.796989724608856,True
1310.0,14.75,0.5,30.4,23.75,7.7,58.62717680573958,True
1550.0,14.75,0.5,30.4,23.75,7.7,23.10186345358473,True
1310.0,14.75,0.5,30.4,23.75,8.4,44.61849858134026,True
1550.0,14.75,0.5,30.4,23.75,8.4,17.963413783297003,True
1310.0,14.75,0.5,30.4,24.8,7.0,217.44296324578158,True
1550.0,14.75,0.5,30.4,24.8,7.0,80.95093690673943,True
1310.0,14.75,0.5,30.4,24.8,7.7,127.78191632187486,True
1550.0,14.75,0.5,30.4,24.8,7.7,49.980159210664944,True
1310.0,14.75,0.5,30.4,24.8,8.4,86.0834325858,True
1550.0,14.75,0.5,30.4,24.8,8.4,34.78839765458693,True
1310.0,14.75,0.5,31.05,22.7,7.0,41.03110363832526,True
1550.0,14.75,0.5,31.05,22.7,7.0,15.630684981458352,True
1310.0,14.75,0.5,31.05,22.7,7.7,32.113493970527664,True
1550.0,14.75,0.5,31.05,22.7,7.7,12.47473873956056,True
1310.0,14.75,0.5,31.05,22.7,8.4,26.402259974652637,True
1550.0,14.75,0.5,31.05,22.7,8.4,10.426625721047207,True
1310.0,14.75,0.5,31.05,23.75,7.0,75.09455809185042,True
1550.0,14.75,0.5,31.05,23.75,7.0,28.226816477301092,True
1310.0,14.75,0.5,31.05,23.75,7.7,53.024430033529704,True
1550.0,14.75,0.5,31.05,23.75,7.7,20.49833128043157,True
1310.0,14.75,0.5,31.05,23.75,8.4,40.33070578893279,True
1550.0,14.75,0.5,31.05,23.75,8.4,15.930932580678167,True
1310.0,14.75,0.5,31.05,24.8,7.0,187.98203761669149,True
1550.0,14.75,0.5,31.05,24.8,7.0,68.23617195888914,True
1310.0,14.75,0.5,31.05,24.8,7.7,110.44002581305715,True
1550.0,14.75,0.5,31.05,24.8,7.7,42.130322107608265,True
1310.0,14.75,0.5,31.05,24.8,8.4,74.36665524876854,True
1550.0,14.75,0.5,31.05,24.8,8.4,29.31548220110972,True
1310.0,14.75,0.5,31.7,22.7,7.0,39.41034894685186,True
1550.0,14.75,0.5,31.7,22.7,7.0,14.804304144762405,True
1310.0,14.75,0.5,31.7,22.7,7.7,30.826043154983438,True
1550.0,14.75,0.5,31.7,22.7,7.7,11.808907031027543,True
1310.0,14.75,0.5,31.7,22.7,8.4,25.32952365657698,True
1550.0,14.75,0.5,31.7,22.7,8.4,9.865168584450737,True
1310.0,14.75,0.5,31.7,23.75,7.0,69.65317892737825,True
1550.0,14.75,0.5,31.7,23.75,7.0,25.742888459276482,True
1310.0,14.75,0.5,31.7,23.75,7.7,49.15054749747054,True
1550.0,14.75,0.5,31.7,23.75,7.7,18.684936157001275,True
1310.0,14.75,0.5,31.7,23.75,8.4,37.36120194332264,True
1550.0,14.75,0.5,31.7,23.75,8.4,14.513970922555535,True
1310.0,14.75,0.5,31.7,24.8,7.0,167.44778235472228,True
1550.0,14.75,0.5,31.7,24.8,7.0,59.492776723829316,True
1310.0,14.75,0.5,31.7,24.8,7.7,98.33719365289276,True
1550.0,14.75,0.5,31.7,24.8,7.7,36.727563890519704,True
1310.0,14.75,0.5,31.7,24.8,8.4,66.18119327845186,True
1550.0,14.75,0.5,31.7,24.8,8.4,25.546266020881458,True
