lpch	capc
-30	0.0514270032345456
-29	0.0647052341976305
-28	0.0813996901362251
-27	0.102382242363477
-26	0.12874319783158
-25	0.16184367795803
-24	0.203379210452205
-23	0.255456155137766
-22	0.320682340881657
-21	0.40227267465634
-20	0.504169287351419
-19	0.631173732400481
-18	0.789085533365753
-17	0.984836676760735
-16	1.2266052994086
-15	1.5238840359638
-14	1.88747021289139
-13	2.32933838149611
-12	2.86235405868682
-11	3.49979559386339
-10	4.25467318594248
-9	5.13887173722842
-8	6.16219273774158
-7	7.33141684177618
-6	8.64953443561739
-5	10.1152793764152
-4	11.7230464684599
-3	13.4631894322406
-2	15.3226098537131
-1	17.2854852424079
0	19.333957473598
1	21.4486021991074
2	23.6084986024149
3	25.7906808856051
4	27.9686386146474
5	30.1093083365881
6	32.16767003972
7	34.0778058364855
8	35.7398004121264
9	37.0050206391348
10	37.6708621827976
11	37.5079252722315
12	36.3374654199759
13	34.1278552637274
14	31.0286470197783
15	27.3092778618675
16	23.2669809409768
17	19.1717720967927
18	15.2527153833624
19	11.6971533926276
20	8.64279069074149
21	6.16267444821432
22	4.25716140463569
23	2.86486791674741
24	1.88944263197213
25	1.22800167451131
26	0.790024761562525
27	0.504783872902061
28	0.321078371673617
29	0.203632189969492
30	0.128903986488946
31	0.081501584303402
32	0.051491463259326
33	0.0325158386503084
34	0.0205268432682276
35	0.0129558411816927
36	0.00817628764374181
37	0.00515956759022101
38	0.00325573738907792
39	0.0020543390517531
40	0.001296243166791
41	0.000817891207768679
42	0.000516061257034265
43	0.000325615344523494
44	0.000205450469673155
45	0.000129630911360051
46	8.17917462206208e-05
47	5.16071709233981e-05
48	3.25619505642431e-05
49	2.05452126248839e-05
50	1.29631570856384e-05
51	8.17920087712883e-06
52	5.16072754442216e-06
53	3.25619921748209e-06
54	2.05452291896851e-06
55	1.2963163681108e-06
56	8.17920350279217e-07
57	5.16072858960029e-07
58	3.25619963521034e-07
59	2.05452308442657e-07
60	1.29631643491945e-07
